,accessionNumber,filingDate,reportDate,form,fileLink,txtFileLink
0,0001655887-24-000017,"May 13, 2024","March 31, 2024",10-Q,https://www.sec.gov/Archives/edgar/data/1655887/000165588724000017/obdc-20240331.htm,https://www.sec.gov/Archives/edgar/data/1655887/000165588724000017/0001655887-24-000017.txt
1,0001655887-24-000009,"March 07, 2024","December 31, 2023",10-K,https://www.sec.gov/Archives/edgar/data/1655887/000165588724000009/obdc-20231231.htm,https://www.sec.gov/Archives/edgar/data/1655887/000165588724000009/0001655887-24-000009.txt
2,0001655887-23-000048,"November 09, 2023","September 30, 2023",10-Q,https://www.sec.gov/Archives/edgar/data/1655887/000165588723000048/obdc-20230930.htm,https://www.sec.gov/Archives/edgar/data/1655887/000165588723000048/0001655887-23-000048.txt
3,0001655887-23-000039,"August 10, 2023","June 30, 2023",10-Q,https://www.sec.gov/Archives/edgar/data/1655887/000165588723000039/obdc-20230630.htm,https://www.sec.gov/Archives/edgar/data/1655887/000165588723000039/0001655887-23-000039.txt
4,0001655887-23-000025,"May 11, 2023","March 31, 2023",10-Q,https://www.sec.gov/Archives/edgar/data/1655887/000165588723000025/orcc-20230331.htm,https://www.sec.gov/Archives/edgar/data/1655887/000165588723000025/0001655887-23-000025.txt
5,0001655887-23-000009,"March 06, 2023","December 31, 2022",10-K,https://www.sec.gov/Archives/edgar/data/1655887/000165588723000009/orcc-20221231.htm,https://www.sec.gov/Archives/edgar/data/1655887/000165588723000009/0001655887-23-000009.txt
6,0001655887-22-000008,"November 09, 2022","September 30, 2022",10-Q,https://www.sec.gov/Archives/edgar/data/1655887/000165588722000008/a01orccii-2022930x10q.htm,https://www.sec.gov/Archives/edgar/data/1655887/000165588722000008/0001655887-22-000008.txt
7,0001655887-22-000006,"August 10, 2022","June 30, 2022",10-Q,https://www.sec.gov/Archives/edgar/data/1655887/000165588722000006/a01orccii-2022630x10q.htm,https://www.sec.gov/Archives/edgar/data/1655887/000165588722000006/0001655887-22-000006.txt
8,0000950170-22-009355,"May 11, 2022","March 31, 2022",10-Q,https://www.sec.gov/Archives/edgar/data/1655887/000095017022009355/orccii_10q_0331-2022.htm,https://www.sec.gov/Archives/edgar/data/1655887/000095017022009355/0000950170-22-009355.txt
9,0000950170-22-002917,"March 04, 2022","December 31, 2021",10-K,https://www.sec.gov/Archives/edgar/data/1655887/000095017022002917/orccii_10k_1231_2021.htm,https://www.sec.gov/Archives/edgar/data/1655887/000095017022002917/0000950170-22-002917.txt
10,0000950170-21-003834,"November 10, 2021","September 30, 2021",10-Q,https://www.sec.gov/Archives/edgar/data/1655887/000095017021003834/orccii_10q_0930-2021.htm,https://www.sec.gov/Archives/edgar/data/1655887/000095017021003834/0000950170-21-003834.txt
11,0001564590-21-043121,"August 10, 2021","June 30, 2021",10-Q,https://www.sec.gov/Archives/edgar/data/1655887/000156459021043121/orccii-10q_20210630.htm,https://www.sec.gov/Archives/edgar/data/1655887/000156459021043121/0001564590-21-043121.txt
12,0001564590-21-026621,"May 11, 2021","March 31, 2021",10-Q,https://www.sec.gov/Archives/edgar/data/1655887/000156459021026621/orccii-10q_20210331.htm,https://www.sec.gov/Archives/edgar/data/1655887/000156459021026621/0001564590-21-026621.txt
13,0001564590-21-011045,"March 05, 2021","December 31, 2020",10-K,https://www.sec.gov/Archives/edgar/data/1655887/000156459021011045/orccii-10k_20201231.htm,https://www.sec.gov/Archives/edgar/data/1655887/000156459021011045/0001564590-21-011045.txt
14,0001564590-20-053022,"November 10, 2020","September 30, 2020",10-Q,https://www.sec.gov/Archives/edgar/data/1655887/000156459020053022/orccii-10q_20200930.htm,https://www.sec.gov/Archives/edgar/data/1655887/000156459020053022/0001564590-20-053022.txt
15,0001564590-20-039301,"August 11, 2020","June 30, 2020",10-Q,https://www.sec.gov/Archives/edgar/data/1655887/000156459020039301/orccii-10q_20200630.htm,https://www.sec.gov/Archives/edgar/data/1655887/000156459020039301/0001564590-20-039301.txt
16,0001564590-20-024676,"May 12, 2020","March 31, 2020",10-Q,https://www.sec.gov/Archives/edgar/data/1655887/000156459020024676/orccii-10q_20200331.htm,https://www.sec.gov/Archives/edgar/data/1655887/000156459020024676/0001564590-20-024676.txt
17,0001564590-20-006523,"February 26, 2020","December 31, 2019",10-K,https://www.sec.gov/Archives/edgar/data/1655887/000156459020006523/orccii-10k_20191231.htm,https://www.sec.gov/Archives/edgar/data/1655887/000156459020006523/0001564590-20-006523.txt
18,0001564590-19-040540,"November 06, 2019","September 30, 2019",10-Q,https://www.sec.gov/Archives/edgar/data/1655887/000156459019040540/orccii-10q_20190930.htm,https://www.sec.gov/Archives/edgar/data/1655887/000156459019040540/0001564590-19-040540.txt
19,0001564590-19-030152,"August 07, 2019","June 30, 2019",10-Q,https://www.sec.gov/Archives/edgar/data/1655887/000156459019030152/orccii-10q_20190630.htm,https://www.sec.gov/Archives/edgar/data/1655887/000156459019030152/0001564590-19-030152.txt
20,0001564590-19-017017,"May 08, 2019","March 31, 2019",10-Q,https://www.sec.gov/Archives/edgar/data/1655887/000156459019017017/orccii-10q_20190331.htm,https://www.sec.gov/Archives/edgar/data/1655887/000156459019017017/0001564590-19-017017.txt
21,0001564590-19-004958,"February 27, 2019","December 31, 2018",10-K,https://www.sec.gov/Archives/edgar/data/1655887/000156459019004958/orccii-10k_20181231.htm,https://www.sec.gov/Archives/edgar/data/1655887/000156459019004958/0001564590-19-004958.txt
22,0001564590-18-027576,"November 07, 2018","September 30, 2018",10-Q,https://www.sec.gov/Archives/edgar/data/1655887/000156459018027576/orccii-10q_20180930.htm,https://www.sec.gov/Archives/edgar/data/1655887/000156459018027576/0001564590-18-027576.txt
