,accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription,fileLink,txtFileLink
0,0001655887-24-000017,2024-05-13,2024-03-31,2024-05-10T17:40:30.000Z,34,10-Q,814-01219,24936212,,28055386,1,1,obdc-20240331.htm,10-Q,https://www.sec.gov/Archives/edgar/data/1655887/000165588724000017/obdc-20240331.htm,https://www.sec.gov/Archives/edgar/data/1655887/000165588724000017/0001655887-24-000017.txt
1,0001655887-24-000009,2024-03-07,2023-12-31,2024-03-06T19:19:00.000Z,34,10-K,814-01219,24727699,,35559661,1,1,obdc-20231231.htm,10-K,https://www.sec.gov/Archives/edgar/data/1655887/000165588724000009/obdc-20231231.htm,https://www.sec.gov/Archives/edgar/data/1655887/000165588724000009/0001655887-24-000009.txt
2,0001655887-23-000048,2023-11-09,2023-09-30,2023-11-09T16:58:33.000Z,34,10-Q,814-01219,231393518,,28991189,1,1,obdc-20230930.htm,10-Q,https://www.sec.gov/Archives/edgar/data/1655887/000165588723000048/obdc-20230930.htm,https://www.sec.gov/Archives/edgar/data/1655887/000165588723000048/0001655887-23-000048.txt
3,0001655887-23-000039,2023-08-10,2023-06-30,2023-08-10T17:14:29.000Z,34,10-Q,814-01219,231160654,,27739370,1,1,obdc-20230630.htm,10-Q,https://www.sec.gov/Archives/edgar/data/1655887/000165588723000039/obdc-20230630.htm,https://www.sec.gov/Archives/edgar/data/1655887/000165588723000039/0001655887-23-000039.txt
4,0001655887-23-000025,2023-05-11,2023-03-31,2023-05-11T16:06:55.000Z,34,10-Q,814-01219,23910979,,46704697,1,1,orcc-20230331.htm,10-Q,https://www.sec.gov/Archives/edgar/data/1655887/000165588723000025/orcc-20230331.htm,https://www.sec.gov/Archives/edgar/data/1655887/000165588723000025/0001655887-23-000025.txt
5,0001655887-23-000009,2023-03-06,2022-12-31,2023-03-03T17:36:54.000Z,34,10-K,814-01219,23706127,,7534402,1,1,orcc-20221231.htm,10-K,https://www.sec.gov/Archives/edgar/data/1655887/000165588723000009/orcc-20221231.htm,https://www.sec.gov/Archives/edgar/data/1655887/000165588723000009/0001655887-23-000009.txt
6,0001655887-22-000008,2022-11-09,2022-09-30,2022-11-09T16:24:10.000Z,34,10-Q,814-01219,221373030,,4966728,0,0,a01orccii-2022930x10q.htm,10-Q,https://www.sec.gov/Archives/edgar/data/1655887/000165588722000008/a01orccii-2022930x10q.htm,https://www.sec.gov/Archives/edgar/data/1655887/000165588722000008/0001655887-22-000008.txt
7,0001655887-22-000006,2022-08-10,2022-06-30,2022-08-10T16:53:01.000Z,34,10-Q,814-01219,221152469,,4962222,0,0,a01orccii-2022630x10q.htm,10-Q,https://www.sec.gov/Archives/edgar/data/1655887/000165588722000006/a01orccii-2022630x10q.htm,https://www.sec.gov/Archives/edgar/data/1655887/000165588722000006/0001655887-22-000006.txt
8,0000950170-22-009355,2022-05-11,2022-03-31,2022-05-11T16:24:05.000Z,34,10-Q,814-01219,22914115,,11954156,0,0,orccii_10q_0331-2022.htm,10-Q,https://www.sec.gov/Archives/edgar/data/1655887/000095017022009355/orccii_10q_0331-2022.htm,https://www.sec.gov/Archives/edgar/data/1655887/000095017022009355/0000950170-22-009355.txt
9,0000950170-22-002917,2022-03-04,2021-12-31,2022-03-04T16:30:03.000Z,34,10-K,814-01219,22714506,,16262707,0,0,orccii_10k_1231_2021.htm,10-K,https://www.sec.gov/Archives/edgar/data/1655887/000095017022002917/orccii_10k_1231_2021.htm,https://www.sec.gov/Archives/edgar/data/1655887/000095017022002917/0000950170-22-002917.txt
